,Restaurant,Borough,Neighborhood,Postcode,CUISINE DESCRIPTION,GRADE,Address,Coordinates,latitude,longitude
99,THE PRINCETON CLUB,MANHATTAN,WEST   43 STREET,10036,American,A,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
100,ARTURO'S,MANHATTAN,WEST HOUSTON STREET,10012,Italian,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA","3 Washington Square Village #1A, New York, NY 10012, USA",40.7278058,-73.9979716
101,SPAIN RESTAURANT & BAR,MANHATTAN,WEST   13 STREET,10011,Spanish,A,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
102,SPAIN RESTAURANT & BAR,MANHATTAN,WEST   13 STREET,10011,Spanish,B,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
103,SPAIN RESTAURANT & BAR,MANHATTAN,WEST   13 STREET,10011,Spanish,C,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
104,YANKEE TAVERN,BRONX,EAST  161 STREET,10451,American,B,"The Bronx, Bronx County, NYC, New York, USA","The Bronx, NY, USA",40.8447819,-73.8648268
105,YANKEE TAVERN,BRONX,EAST  161 STREET,10451,American,A,"The Bronx, Bronx County, NYC, New York, USA","The Bronx, NY, USA",40.8447819,-73.8648268
106,DONUT PUB,MANHATTAN,WEST   14 STREET,10011,Donuts,A,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
107,DONUT PUB,MANHATTAN,WEST   14 STREET,10011,Donuts,C,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
108,REBEN LUNCHEONETTE,BROOKLYN,HAVEMEYER STREET,11211,American,A,"Борча, Беле Бартока, Нова Борча, Борча, Градска општина Палилула, Град Београд, Централна Србија, 11211, Србија","Bele Bartoka, Borča, Serbia",44.876928,20.4506365
109,REBEN LUNCHEONETTE,BROOKLYN,HAVEMEYER STREET,11211,American,B,"Борча, Беле Бартока, Нова Борча, Борча, Градска општина Палилула, Град Београд, Централна Србија, 11211, Србија","Bele Bartoka, Borča, Serbia",44.876928,20.4506365
110,REBEN LUNCHEONETTE,BROOKLYN,HAVEMEYER STREET,11211,American,P,"Борча, Беле Бартока, Нова Борча, Борча, Градска општина Палилула, Град Београд, Централна Србија, 11211, Србија","Bele Bartoka, Borča, Serbia",44.876928,20.4506365
111,V & T RESTAURANT,MANHATTAN,AMSTERDAM AVENUE,10025,Italian,Z,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA","250 W 87th St # 2, New York, NY 10024, USA",40.7890699,-73.97654949999999
112,V & T RESTAURANT,MANHATTAN,AMSTERDAM AVENUE,10025,Italian,A,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA","250 W 87th St # 2, New York, NY 10024, USA",40.7890699,-73.97654949999999
113,JAHN'S RESTAURANT,QUEENS,37 AVENUE,11372,American,A,"Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
114,J&V FAMOUS PIZZA,BROOKLYN,18 AVENUE,11204,Pizza,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
115,JOE ALLEN RESTAURANT,MANHATTAN,WEST   46 STREET,10036,American,A,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
116,GARGIULO'S RESTAURANT,BROOKLYN,WEST   15 STREET,11224,Italian,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
